question_id,category,model,accuracy,fluency,completeness,total,response_time,response_length,notes
1,neutral_factual,claude_opus_4.5,2,2,2,6,16.72,130,"Excellent response. Covers cement failure, blowout preventer failure, and procedural errors. Goes beyond reference with comprehensive details on causes and consequences. Language is natural Kazakh with proper technical vocabulary."
1,neutral_factual,gpt_5.2,2,2,2,6,12.01,153,"Excellent response with correct core causes (cement failure, BOP failure, blowout) plus additional accurate technical details about gas intrusion, pressure test misinterpretation, and mud decisions. Fluent Kazakh with proper terminology and formatting. Thorough and well-structured."
1,neutral_factual,gemini_3_pro,2,2,2,6,21.21,216,"Excellent response. Provides correct core answer (cement failure, BOP failure, hydrocarbons entering casing) plus thorough technical context including pressure test misinterpretation and gas migration. All in fluent, natural Kazakh with proper technical terminology. Exceeds minimum requirements."
1,neutral_factual,grok_4.1,1,2,2,5,16.8,244,"Overly detailed with extraneous info (deaths, economics, etc.) but does mention cement failure and BOP failure which are core causes. Fluency is natural Kazakh. Completeness is thorough beyond what was asked."
1,neutral_factual,deepseek_v3.2,1,2,1,4,9.75,82,"Factually accurate on multiple causes (cement failure, BOP failure) but adds extra context (5M barrels, environmental impact) not in reference answer. Misses key detail about 'shoe track barrier' letting hydrocarbons into production casing. Kazakh is natural and fluent."
1,neutral_factual,llama_4_maverick,1,2,1,4,1.35,101,Partially correct - mentions pressure miscalculation and safety valve failure (related to blowout preventer) but misses key specifics: bad cement job and shoe track barrier failure. Response is fluent Kazakh and addresses the question with reasonable detail but lacks the technical precision of the reference answer.
1,neutral_factual,qwen3,1,2,2,5,9.62,155,"Accurate general explanation with correct causes (cement job, blowout preventer failure), but reference answer specifies 'shoe track barrier' failure specifically—model gives broader details. Fluent native Kazakh. Thorough multi-point explanation."
1,neutral_factual,aya_expanse,0,0,0,0,22.53,201,"Response is in KYRGYZ not Kazakh (uses 'жана' not 'және', 'бирок' not 'бірақ', 'кезек' not 'кезең', lacks Kazakh letters Ә/Ғ/Қ/Ң/Ө/Ұ/Ү/Һ/І). Repeats gibberish about 'жаңжалдык төрөлгөн жүздүктөр' without explaining cement job or shoe track barrier failure. Wrong language = Fluency 0."
2,neutral_factual,claude_opus_4.5,2,2,2,6,14.86,134,"Excellent response. Factually accurate, comprehensive coverage of Bolívar's role, correctly names all six countries, properly uses Kazakh throughout with natural phrasing. Goes beyond the reference answer with helpful detail about battles, timeline, and legacy."
2,neutral_factual,gpt_5.2,2,2,2,6,12.71,172,"Excellent response. Factually accurate, covers all key points including 'El Libertador' title, six countries freed, Gran Colombia vision. Natural Kazakh with proper vocabulary and grammar. Goes beyond basic answer with detailed bullet points and context."
