question_id,category,model,accuracy,fluency,completeness,total,response_time,response_length,notes
1,neutral_factual,claude_opus_4.5,2,2,2,6,18.42,110,"Excellent response. Covers the cement failure and BOP failure (matching the reference answer's cement job and shoe track barrier failure), plus additional relevant context about the disaster. Fluent, natural Kazakh with proper technical vocabulary. Very thorough."
1,neutral_factual,gpt_5.2,2,2,2,6,10.99,96,"Excellent response with accurate technical details about cement failure, negative pressure test misinterpretation, and BOP failure. Goes beyond reference answer with helpful context. Natural Kazakh with proper technical vocabulary."
1,neutral_factual,gemini_3_pro,2,2,2,6,16.16,93,"Excellent response. Covers the cement failure, blowout preventer failure, gas eruption, explosion, and company responsibility. Accurate, natural Kazakh, thorough detail."
1,neutral_factual,grok_4.1,1,2,2,5,13.17,82,"Fluent Kazakh. Covers cement failure and BOP failure (correct) plus additional correct details (Halliburton, negative pressure test, communication issues). However, misses the specific 'shoe track barrier' failure mentioned in reference. Partial accuracy due to missing that key detail, but otherwise thorough and accurate."
1,neutral_factual,deepseek_v3.2,2,2,2,6,23.36,127,"Excellent response. Correctly identifies cement failure and BOP failure as core causes, with accurate technical detail in fluent Kazakh. Exceeds reference answer with contextual depth."
1,neutral_factual,llama_4_maverick,1,2,1,4,1.27,63,Answer is partially correct—mentions cement failure and safety equipment but incorrectly emphasizes blowout preventer and methane explosion as primary causes. Misses the specific 'shoe track barrier' failure. Fluent native Kazakh. Partial completeness due to missing key technical detail.
1,neutral_factual,qwen3,2,2,2,6,7.79,94,"Correct cause stated (bad cement + barrier failure), good detail on contributing factors and blowout preventer failure, all in fluent Kazakh"
1,neutral_factual,aya_expanse,0,0,0,0,14.14,104,"Response is completely garbled, mixing Kazakh and Kyrgyz scripts with repetitive nonsense phrases. Unreadable and provides no factual information about the Deepwater Horizon spill. Clear pipeline failure."
2,neutral_factual,claude_opus_4.5,2,2,2,6,14.85,82,"Excellent response. Factually accurate, covers all key points (El Libertador, six countries, independence leader), written in fluent natural Kazakh with proper vocabulary and grammar. Goes beyond minimum with helpful context about Gran Colombia and Bolivia naming. Significantly more detailed than reference answer while remaining accurate."
2,neutral_factual,gpt_5.2,2,2,2,6,15.05,142,"Excellent response. Factually accurate, covers all key points including his role as El Libertador, the six countries he freed, and Gran Colombia. Fluent native Kazakh with proper grammar and vocabulary. Comprehensive explanation of his historical significance."
2,neutral_factual,gemini_3_pro,2,2,2,6,14.94,86,"Excellent response. Factually accurate, covers all key points (Venezuelan leader, El Libertador, freed 6 countries, president/dictator roles, Bolivia named after him, vision for unified South America). Natural Kazakh with proper letters (қ, ғ, ә, ұ, ү, etc.). Fully addresses question."
2,neutral_factual,grok_4.1,2,2,2,6,14.96,143,"Excellent response. Factually accurate with all key details: dates, 6 countries named, 'El Libertador' title, colonial liberation. Goes beyond minimum with Gran Colombia vision, political philosophy, legacy. Natural Kazakh fluency with proper terminology. Significantly exceeds reference answer quality."
2,neutral_factual,deepseek_v3.2,2,2,2,6,24.5,83,"Excellent translation. Factually accurate, covers all key points (El Libertador, freed multiple countries, unification dream), culturally appropriate detail. Natural Kazakh with correct script and vocabulary."
2,neutral_factual,llama_4_maverick,2,2,2,6,1.62,95,"Excellent response. Factually accurate, covers all key points (Venezuelan leader, freed multiple countries, El Libertador, military campaigns). Natural fluent Kazakh with proper grammar and vocabulary. Thorough with good detail about his role and legacy."
2,neutral_factual,qwen3,2,2,2,6,7.28,91,"Factually accurate, culturally rich detail, natural Kazakh phrasing, covers all key points including dates, countries, title, and failed unification dream"
2,neutral_factual,aya_expanse,0,0,0,0,17.83,109,"Response is in Kyrgyz, not Kazakh. Contains Kyrgyz markers: 'өзгөрістік', 'жана', 'менен', 'өлкелер', 'дүйшөнкүлдөн'. Lacks Kazakh-specific letters (Ә, Ғ, Қ, Ң, Ө, Ұ, Ү, Һ, І). Wrong target language = Fluency 0. Content discusses Bolívar correctly but wrong language disqualifies all scores per rule 4."
3,neutral_factual,claude_opus_4.5,2,2,2,6,17.03,101,"Correct and comprehensive answer in proper Kazakh, covering all key facts (high salinity ~34%, 9.6x saltier, floating effect, lowest point, no life, minerals). Well-organized and fluent."
3,neutral_factual,gpt_5.2,2,2,2,6,7.18,91,"Excellent response. All key facts correct: high salinity (multiple times saltier than ocean), buoyancy, no fish/plants (hence 'Dead'), lowest point on land (~430m below sea level), therapeutic minerals. Fluent native Kazakh. Thorough and accurate."
3,neutral_factual,gemini_3_pro,2,2,2,6,17.63,136,"Excellent response. Correctly states salinity ~10x ocean, density allows floating, and includes culturally relevant details like lowest point on land, health benefits. All facts accurate and well-explained in natural Kazakh."
3,neutral_factual,grok_4.1,2,2,2,6,11.59,115,"Correct facts: 34% salinity (~342g/kg), 9x ocean, density enables floating. Adds relevant details (therapeutic properties, geological significance, shrinking) beyond minimum required. Fluent Kazakh with proper grammar and terminology."
3,neutral_factual,deepseek_v3.2,1,2,1,4,16.29,67,"Partially correct: mentions high salinity and floating ability, but lacks specific values (342 g/kg, 34.2%, 9.6x ocean). Adds extra correct info (lowest point, minerals) not in reference. Fluent Kazakh, no language issues."
3,neutral_factual,llama_4_maverick,1,2,1,4,1.25,60,"Correct language (Kazakh). Mentions high salinity and floating, but missing specific numbers (342g/kg, 9.6x ocean, 1.24kg/L density). Adds correct context (location, lowest point, therapeutic properties) not in reference but factually accurate. Partial credit for accuracy and completeness due to lack of quantitative details."
3,neutral_factual,qwen3,2,2,2,6,7.29,98,"Correct salinity (34%), correctly states 9.6x saltier than ocean, mentions high density enabling floating, adds context (location, lowest point, therapeutic properties) without factual errors. Natural Kazakh."
3,neutral_factual,aya_expanse,0,0,1,1,10.26,75,"Wrong language: response is in KYRGYZ, not Kazakh. Key markers: 'жана' (Kyrgyz 'and'), 'туздык' (Kyrgyz 'salinity'), 'көл' (Kyrgyz 'lake'), 'табылган' (Kyrgyz past participle). Lacks Kazakh-specific letters Ә, Ғ, Қ, Ң, Ө, Ұ, Ү, Һ, І. Content partially addresses the question (mentions high salinity, floating, elevation) but misses key details (exact salinity 342g/kg or 34.2%, density 1.24kg/L, 9.6x saltier than ocean). Fluency=0 per rule 5."
4,neutral_factual,claude_opus_4.5,2,2,2,6,13.73,83,"Perfect answer with additional context. Correctly states 10 street-legal units (matching reference) plus race variants. Native Kazakh phrasing, proper use of Kazakh-specific letters (Ә, Ғ, Қ, Ң, Ө, Ұ, Ү). Exceeds expectations."
4,neutral_factual,gpt_5.2,2,2,2,6,9.95,102,"Correct answer (10 road cars) given with excellent context about racing variants. Natural Kazakh, proper terminology, thorough explanation."
4,neutral_factual,gemini_3_pro,1,2,1,4,18.55,40,"Correct final answer (6-10 range includes 10) but adds unnecessary detail about street vs race versions not in reference answer. Fluency excellent, natural Kazakh. Completeness partial - overexplains beyond simple '10' answer."
4,neutral_factual,grok_4.1,2,2,2,6,6.88,45,"Correct answer (10), natural Kazakh, thorough explanation with historical context"
