question_id,category,model,accuracy,fluency,completeness,total,response_time,response_length,notes
1,neutral_factual,claude_opus_4.5,2,2,2,6,23.97,110,"Excellent response. Correctly identifies cement failure and BOP failure as primary causes. Provides additional context (casualties, volume spilled) appropriately. Natural Mongolian fluency with proper technical terms."
1,neutral_factual,gpt_5.2,2,2,2,6,11.9,115,"Excellent response. Goes beyond reference answer with detailed explanation of blowout preventer failure, pressure test misinterpretation, and operational decisions. All technically accurate. Mongolian is fluent and natural with proper technical terminology. Fully addresses the question with significant depth."
1,neutral_factual,gemini_3_pro,2,2,2,6,19.57,77,"Accurate technical explanation with correct causal factors (cement failure, pressure test misinterpretation, blowout preventer). Fluent Mongolian with proper technical vocabulary. Complete answer covering both immediate and contributing causes. Well-structured response."
1,neutral_factual,grok_4.1,2,2,2,6,16.6,129,"Excellent response. Covers all key causes (BOP failure, cement job, safety failures), provides context (date, location, casualties, oil volume), and reads naturally in Mongolian. Goes beyond the reference answer with comprehensive detail."
1,neutral_factual,deepseek_v3.2,2,2,2,6,7.53,52,"Excellent response. Covers the bad cement job and BOP failure (shoe track barrier equivalent), plus additional accurate context (pressure test misinterpretation, risk management). Fluent Mongolian with no Kazakh markers. Fully addresses the question with appropriate detail."
1,neutral_factual,llama_4_maverick,1,2,1,4,1.34,79,"Partially correct: mentions cement deficiency and blowout preventer failure, but misses the specific shoe track barrier failure. Adds extra context (date, explosion) not in reference answer. Fluent Mongolian."
1,neutral_factual,qwen3,1,2,1,4,19.01,79,"Partially correct: mentions faulty cement job and equipment failures (correct) but adds extra details (Macondo site, company names, explosion magnitude) not in reference. Missing key detail about shoe track barrier failure specifically. Fluency is natural Mongolian. Completeness is partial as it addresses the question but includes tangential information while omitting a specific technical detail."
1,neutral_factual,aya_expanse,0,0,0,0,16.42,150,"Completely garbled text with nonsensical characters (ъ, өө sequences), wrong script mixing, repetitive gibberish. Does not answer what CAUSED the spill (cement failure, shoe track barrier). Appears to be severely corrupted Mongolian with encoding errors. Unreadable and factually wrong."
2,neutral_factual,claude_opus_4.5,2,2,2,6,22.23,118,"Excellent response. Factually accurate with all key details: dates, 'El Libertador' title, six countries freed, additional context on battles and Gran Colombia. Natural Mongolian with proper terminology. Far exceeds minimal requirements."
2,neutral_factual,gpt_5.2,2,2,2,6,17.92,194,"Excellent response. Factually accurate with all key details (dates, title 'El Libertador', 6 countries freed). Fluent natural Mongolian. Goes beyond minimum to explain his significance with bullet points covering independence campaigns, political ideology, Gran Colombia, and lasting legacy. Well-structured and thorough."
2,neutral_factual,gemini_3_pro,2,2,2,6,18.86,95,"Excellent response. Factually accurate, covers all key points (Venezuelan leader, El Libertador, freed multiple SA countries from Spanish rule, Gran Colombia vision, national hero status). Fluent natural Mongolian with no errors. Thorough and complete."
2,neutral_factual,grok_4.1,2,2,2,6,24.69,186,"Excellent response: factually accurate with all key details (1783-1830, Venezuelan leader, El Libertador, freed 6 countries, colonial independence), natural Mongolian fluency, thorough coverage including Gran Colombia vision and lasting legacy. Fully addresses the question."
2,neutral_factual,deepseek_v3.2,2,2,2,6,12.45,74,"Factually accurate and complete. Names all six countries, explains his role as liberator, mentions 'El Libertador' title. Fluent Mongolian with proper terminology. Excellent response."
2,neutral_factual,llama_4_maverick,2,2,2,6,1.86,115,"Excellent response. Factually accurate with all key details: dates, role as El Libertador, six countries freed, Gran Colombia vision. Natural Mongolian phrasing throughout. Thorough coverage with cultural/historical context."
2,neutral_factual,qwen3,2,2,2,6,23.41,119,"Excellent response. Factually accurate with correct dates (1783-1830), birthplace (Caracas), title (El Libertador), and all six countries mentioned. Natural Mongolian with proper terminology. Thorough coverage including his vision for Latin American unity and historical significance."
2,neutral_factual,aya_expanse,2,0,2,4,21.19,151,"Accuracy: Correct facts about Bolívar's role, countries liberated, 'El Libertador' title. Completeness: Covers military/political leader, liberation role, six countries, named Bolivia after him. Fluency: 0 - The Mongolian translation is completely broken and unintelligible. The text contains garbled phrases like 'Испани хамгийн сүрөгчдийн гувьд тогтсонгосон чадакд түүхэнд чухал үүрэгчдийн дараалалтын дараа' which is nonsensical and repetitive. Multiple words/phrases are malformed or incorrectly concatenated. This is not readable Mongolian despite being in Cyrillic script."
3,neutral_factual,claude_opus_4.5,2,2,2,6,22.64,118,"Excellent response. Covers all key facts from reference (34% salinity, 10x saltier than ocean, floating effect). Adds valuable context (location, lowest point on earth, mineral content, historical significance) without errors. Natural, fluent Mongolian with correct terminology. Fully addresses the question with thorough detail."
3,neutral_factual,gpt_5.2,2,2,2,6,12.21,146,"Excellent response. Covers all key facts: salinity (9.6x saltier), density/floating effect, location, Dead Sea name origin, lowest point on Earth, minerals, no outlet, evaporation, environmental issues. Fluent Mongolian. Far exceeds minimum requirements."
3,neutral_factual,gemini_3_pro,2,2,2,6,20.91,139,"Factually accurate, covers all key points (salinity 9.6x ocean, density, floating, lowest point), natural fluent Mongolian, thorough response."
3,neutral_factual,grok_4.1,1,2,2,5,17.53,149,"Correct salinity (~34%) and floating ability mentioned, but missing key specifics: exact 342 g/kg, 9.6x comparison, 1.24 kg/L density. Adds extra correct context (Dead Sea location, lowest point, therapeutic uses, geology) not required but accurate. Partial credit for core facts."
3,neutral_factual,deepseek_v3.2,2,2,2,6,13.45,134,"Correct core facts (34% salinity, 9-10x saltier than ocean, floating effect, lowest point on Earth). Adds contextual details (mineral-rich, ecosystem) that align with the answer spirit. Natural Mongolian."
3,neutral_factual,llama_4_maverick,1,2,1,4,1.88,133,"Partially correct: mentions salinity (~33.7% vs ref 34.2%), floating ability, therapeutic properties. Missing key details: exact 342 g/kg, 9.6x ocean comparison, 1.24 kg/L density. Adds extraneous info (geology, Dead Sea Scrolls) not in reference. Fluency excellent, natural Mongolian."
3,neutral_factual,qwen3,2,2,2,6,28.52,144,"Excellent response. Covers all key facts: 34% salinity (~10x ocean), location below sea level, floating effect due to density, mineral content. Well-structured and natural Mongolian. Significantly exceeds reference answer in detail while maintaining accuracy."
3,neutral_factual,aya_expanse,0,0,0,0,7.38,42,"Wrong language or garbled. Contains 'хариултыг монгол хэл рүү орчуулна уу' (instruction to translate), then incoherent Mongolian text with repeated phrases about 'tengis' but no factual content about salinity, density, or floating. Fails to answer the question."
4,neutral_factual,claude_opus_4.5,2,2,2,6,17.48,75,"Correct answer (10), excellent detail on road vs racing versions, proper Mongolian, thorough explanation"
4,neutral_factual,gpt_5.2,2,2,2,6,6.05,59,"Correct answer (10), natural Mongolian, thorough explanation with context about homologation and racing versions"
4,neutral_factual,gemini_3_pro,2,2,2,6,19.98,59,"Correct answer (10), natural Mongolian, thorough explanation with racing context"
4,neutral_factual,grok_4.1,2,2,2,6,7.18,42,"Correct answer (10), fluent Mongolian with no Kyrgyz markers, thorough explanation including year and racing context"
4,neutral_factual,deepseek_v3.2,2,2,2,6,89.59,94,"Correct answer (10), fluent Mongolian, thorough with context about ALMS homologation and rarity"
4,neutral_factual,llama_4_maverick,2,2,2,6,1.01,44,"Correct answer (10), natural Mongolian, provides extra context about street-legal versions which is informative though not required"
4,neutral_factual,qwen3,2,2,2,6,9.09,52,"Correct answer (10 road-legal units), good context about 2001 production for homologation/ALMS, natural Mongolian fluency, thorough explanation."
4,neutral_factual,aya_expanse,0,0,0,0,9.94,28,"Response is completely garbled/unreadable Mongolian, no coherent answer to the question, appears to be machine translation failure"
5,neutral_factual,claude_opus_4.5,2,2,2,6,12.44,70,"Factually accurate (109 ft/33m, 1969), fluent native Mongolian, thorough with historical context about the 1999 tragedy. Excellent response."
5,neutral_factual,gpt_5.2,2,2,2,6,5.75,55,"Correct answer (109 ft / ~33m, 1969), natural Mongolian, thorough with context"
5,neutral_factual,gemini_3_pro,2,2,2,6,14.15,47,"Factually correct (109'10""/~33m), fluent Mongolian, thorough with year & Guinness context"
5,neutral_factual,grok_4.1,1,2,2,5,17.53,42,"Final answer states 110 ft (~33.5m) vs correct 109'10"" (~33m). Close but not exact—partial accuracy. Provides extra context (1994, 1999 tragedy) not required but culturally relevant. Fluent Mongolian, naturally phrased."
5,neutral_factual,deepseek_v3.2,0,2,0,2,152.69,94,"Completely wrong answer. Question asks about Aggie Bonfire (Texas A&M tradition, 109'10""/~33m). Model answered about 1991 Kuwait oil fires (90-150m). Fluent Mongolian but totally off-topic."
5,neutral_factual,llama_4_maverick,0,2,1,3,1.45,66,"Fluent Mongolian but factually wrong: states 55.56 ft (2003) or 53.3 ft (1999), correct is 109'10"" (~33m). Provides some detail but all incorrect."
5,neutral_factual,qwen3,0,2,0,2,11.38,53,"Model refuses to answer, claims no information exists about Aggie Bonfire height. Correct answer is 109'10"" (~33m). Fluency is natural Mongolian but content is completely wrong - this is a well-documented fact about Texas A&M tradition."
5,neutral_factual,aya_expanse,0,0,0,0,46.3,385,"Complete system failure. Claims 450 height (wrong number, no unit). Then degenerates into endless repetition of nonsense Mongolian text containing 'Gallus gallus domesticus' (chicken species) and garbled phrases. Appears to be catastrophic token generation error. C5 pipeline completely broke down."
6,neutral_factual,claude_opus_4.5,2,2,2,6,14.05,69,"Correct: Indonesian and Belgian heritage. Natural Mongolian. Thorough detail including birth, father/mother sides, surname origin, and national team representation."
6,neutral_factual,gpt_5.2,2,2,2,6,5.13,50,"Correct (Indonesian/Belgian), fluent Mongolian, thorough with cultural detail (Batak ethnicity). Excellent pipeline output."
6,neutral_factual,gemini_3_pro,2,2,2,6,12.61,40,"Correct: Belgian and Indonesian heritage. Fluent Mongolian. Adds helpful detail (birthplace, parents' ethnicities) beyond minimal requirement."
6,neutral_factual,grok_4.1,2,2,2,6,10.39,65,Correct: Indonesian and Belgian heritage. Natural Mongolian. Thorough with cultural details beyond the minimal answer.
6,neutral_factual,deepseek_v3.2,0,2,0,2,11.22,62,"Completely wrong answer. Q asks about Radja Nainggolan (Indonesian-Belgian footballer). Model gave detailed Mongolian cultural heritage (temples, folk music, festivals, food). Fluent Mongolian but total hallucination."
6,neutral_factual,llama_4_maverick,1,2,1,4,1.14,43,Answer mentions Indonesian heritage correctly but omits Belgian heritage. Adds unsolicited details about Batak ethnicity not in reference. Fluent Mongolian.
6,neutral_factual,qwen3,0,2,0,2,21.52,87,Complete hallucination. Radja Nainggolan is a Belgian-Indonesian footballer. Model fabricated entire cultural heritage narrative about Batak Toba kings/leaders. Fluent Mongolian but totally wrong content.
6,neutral_factual,aya_expanse,0,0,0,0,9.14,76,"Completely wrong person (Nain Singh was Indian surveyor, not Belgian footballer). Text is garbled/broken Mongolian, largely unreadable. Wrong answer, wrong language quality, minimal useful content."
7,neutral_factual,claude_opus_4.5,2,2,2,6,14.54,86,"Correct answer (Vermont), proper Mongolian, thorough explanation with timeline and context about other states"
7,neutral_factual,gpt_5.2,2,2,2,6,3.39,37,Perfect answer with excellent additional context about Vermont Republic 1777-1791 and statehood in 1791. Natural Mongolian fluency.
7,neutral_factual,gemini_3_pro,2,2,2,6,12.92,43,"Correct answer (Vermont), natural Mongolian, thorough with historical detail about 1777-1791 Republic period"
7,neutral_factual,grok_4.1,2,2,2,6,10.53,68,"Correct answer (Vermont), excellent fluency in Mongolian, thorough explanation with historical dates and context."
7,neutral_factual,deepseek_v3.2,2,2,2,6,14.1,79,"Correct answer (Vermont), excellent detail about 1777-1791 independence period, naturally fluent Mongolian final translation"
7,neutral_factual,llama_4_maverick,2,2,2,6,0.73,29,"Correct answer (Vermont), fluent Mongolian, provides extra detail about Vermont Republic and 1791 statehood"
7,neutral_factual,qwen3,2,2,2,6,13.41,66,"Correct answer (Vermont), natural Mongolian, thorough with historical context about independence 1777-1791"
7,neutral_factual,aya_expanse,0,0,0,0,5.45,56,"Completely incorrect answer (mentions 1901 and nonsensical content), garbled/unreadable Mongolian with broken grammar, does not identify Vermont"
8,neutral_factual,claude_opus_4.5,1,2,1,4,18.65,94,"Factually incorrect numbers: gives 150k-200k horses taken vs correct 187,600; and 25k-30k returned vs correct 1,600. However, the 80-90% mortality claim is roughly accurate and the explanations are reasonable. Fluency is perfect Mongolian. Partial credit for getting the general narrative right but missing the specific figures asked for."
8,neutral_factual,gpt_5.2,1,2,1,4,11.99,117,"Fluent Mongolian, but factually incorrect. Ground truth: 187,600 horses taken, 1,600 returned. Response gives 150,000-200,000 taken and 'a few thousand' returned—wrong numbers. Partially correct in capturing massive loss, hence Accuracy=1. Completeness=1 as it addresses the question but lacks precision."
8,neutral_factual,gemini_3_pro,1,2,2,5,18.69,69,"Factually incorrect numbers (180k-200k vs 187.6k; <5k vs 1.6k) but otherwise thorough explanation. Fluent Mongolian, no Kazakh markers."
